City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
252,Bucerias,MX,2022-06-04 22:55:07,20.75,-105.3333,82.98,71,19,9.48
253,Nuuk,GL,2022-06-04 22:50:21,64.1835,-51.7216,45.54,55,2,6.53
254,Tabory,RU,2022-06-04 22:55:07,58.5198,64.5495,38.3,85,1,2.55
255,Avera,US,2022-06-04 22:55:07,33.194,-82.5271,83.71,52,70,11.5
256,Manbij,SY,2022-06-04 22:55:08,36.5281,37.9549,70.57,42,0,9.13
257,Makakilo City,US,2022-06-04 22:55:08,21.3469,-158.0858,83.95,50,20,6.91
258,Fort Carson,US,2022-06-04 22:55:09,38.7375,-104.7889,85.44,22,75,18.41
259,Gazanjyk,TM,2022-06-04 22:55:09,39.2446,55.5154,80.58,14,0,9.37
260,Adrar,MR,2022-06-04 22:55:10,20.5022,-10.0711,90.0,15,77,19.75
261,Farah,AF,2022-06-04 22:55:10,32.5,62.5,69.76,18,0,5.57
262,Saint George,US,2022-06-04 22:55:11,37.1041,-113.5841,91.63,15,0,10.36
263,Bengkulu,ID,2022-06-04 22:55:11,-3.8004,102.2655,74.39,87,90,3.56
264,Vila Franca Do Campo,PT,2022-06-04 22:55:11,37.7167,-25.4333,69.19,97,97,11.54
265,Krasnoselkup,RU,2022-06-04 22:55:12,65.7,82.4667,36.21,82,79,13.15
266,Longonjo,AO,2022-06-04 22:55:12,-12.9067,15.2533,54.39,62,55,4.21
267,Barcelos,PT,2022-06-04 22:55:12,41.5388,-8.6151,63.84,94,2,3.74
268,Fortuna,US,2022-06-04 22:55:13,40.5982,-124.1573,62.1,67,40,17.27
269,North Bend,US,2022-06-04 22:52:37,43.4065,-124.2243,64.31,86,100,9.22
